category,name_cn,parameter,unit,value,sensitivity_range,source_attribute,source_url,description
能源价格,平段电价,flat_electricity_price,元/kWh,0.45,,codex新数据表,https://fgw.xlgl.gov.cn/fgw/ywgz/jgsf/jfgs/jggs/2023112710530866099/index.html; https://rmi.org/app/uploads/dlm_uploads/2025/01/final-2024-China-Power-Market-Outlook-10-Key-Trends-for-Market-Players-2501117.pdf,分时电价的平段建模基准
能源价格,天然气价格,gas_price,元/m3,2.952,,codex新数据表,https://www.ordos.gov.cn/ordosml/szbm/sfzhggwyh_n/202605/t20260528_3900116.html,鄂尔多斯非居民管道气价
能源价格,售氢价格,h2_sale_price,元/kg,45.7,,codex新数据表,https://www.nea.gov.cn/20250430/96022785b3a747248288ad1c57d3a025/83d863317f2f44edb605348e4de40993.pdf,中国氢能报告消费侧价格参考
能源价格,外购氢价格,h2_external_supply_cost,元/kg,48.6,,codex新数据表,https://www.nea.gov.cn/20250430/96022785b3a747248288ad1c57d3a025/83d863317f2f44edb605348e4de40993.pdf,供氢不足兜底成本
能源价格,售氢启用,h2_sale_enabled,-,0.0,,codex新数据表,https://www.nea.gov.cn/20250430/96022785b3a747248288ad1c57d3a025/83d863317f2f44edb605348e4de40993.pdf,默认关闭，v1.4 售氢场景会打开
能源价格,余电上网价格,grid_sell_price_cny_per_kwh,元/kWh,0.2829,,codex新数据表,https://rmi.org/app/uploads/dlm_uploads/2025/01/final-2024-China-Power-Market-Outlook-10-Key-Trends-for-Market-Players-2501117.pdf,用于容量规划余电出售收益
碳价,碳价,carbon_price,元/tCO2,62.36,,codex新数据表,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202601/t20260101_1139528.shtml,全国碳市场均价
碳排放,购电排放因子,grid_emission_factor,kgCO2/kWh,0.6849,,codex新数据表,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html,内蒙古省级电力排放因子
碳排放,天然气排放因子,gas_emission_factor,kgCO2/m3,2.16,,codex新数据表,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201511/W020190905506438889540.pdf,按国家核算指南推导
碳排放,碳排放上限,carbon_emission_cap_kg,kgCO2,958904.1095890411,,codex新数据表,https://www.sjgroup.com/projects/ordos/; https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html,日调度模型使用日上限
碳排放,碳超额惩罚,carbon_cap_excess_penalty,元/kgCO2,0.0,,codex新数据表,https://www.sjgroup.com/projects/ordos/; https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html,本轮关闭超额惩罚，仅记录超额量
惩罚成本,弃风弃光惩罚,curtail_penalty,元/kWh,0.1,,codex新数据表,,机会成本场景假设
运维成本,电池运维,battery_om,元/kWh throughput,0.0,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,退化成本已拆入分段退化曲线，避免重复计入
运维成本,电池退化分段1宽度,battery_degradation_segment_1_width_rate,-,0.2,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,P0 分段退化成本：浅循环低成本区
运维成本,电池退化分段1成本,battery_degradation_segment_1_cost_cny_per_kwh,元/kWh throughput,0.05,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,浅循环退化折算成本
运维成本,电池退化分段2宽度,battery_degradation_segment_2_width_rate,-,0.3,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,P0 分段退化成本：常规循环区
运维成本,电池退化分段2成本,battery_degradation_segment_2_cost_cny_per_kwh,元/kWh throughput,0.1,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,常规循环退化折算成本
运维成本,电池退化分段3宽度,battery_degradation_segment_3_width_rate,-,0.5,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,P0 分段退化成本：深循环高成本区
运维成本,电池退化分段3成本,battery_degradation_segment_3_cost_cny_per_kwh,元/kWh throughput,0.18,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,深循环退化折算成本
运维成本,电解槽运维,electrolyzer_om,元/kgH2,1.0,,codex新数据表,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,新参数表推荐值
运维成本,燃料电池运维,fuel_cell_om,元/kWh,0.08,,codex新数据表,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,新参数表推荐值
惩罚成本,新能源最低消纳率,renewable_min_consumption_rate,-,0.9,,codex新数据表,https://www.nea.gov.cn/20250117/7a37e1cc43e4477baa101671b7dc273f/c.html,政策约束场景使用
政策约束,容量规划最低绿电比例,green_power_min_share,-,0.5,,codex新数据表,https://www.nea.gov.cn/20250318/0c73110958864a75bd1a823c7861c40c/c.html; https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/t20250708_1399055.html,按零碳园区高比例绿电消费和绿电直供政策口径，本轮采用 50% 作为容量规划硬约束
