category,name_cn,parameter,unit,value,sensitivity_range,source_attribute,source_url,description
规模,风电装机,wind_capacity_kW,kW,120000.0,,codex新数据表,"https://power.larc.nasa.gov/api/temporal/hourly/point?parameters=ALLSKY_SFC_SW_DWN,WS50M,T2M&community=RE&longitude=109.78&latitude=39.61&start=20240101&end=20241231&format=JSON&time-standard=LST",按新数据源风资源和园区尺度设定
规模,光伏装机,pv_capacity_kW,kW,100000.0,,codex新数据表,"https://power.larc.nasa.gov/api/temporal/hourly/point?parameters=ALLSKY_SFC_SW_DWN,WS50M,T2M&community=RE&longitude=109.78&latitude=39.61&start=20240101&end=20241231&format=JSON&time-standard=LST",按新数据源光伏资源和园区尺度设定
电储能,额定功率,battery_power_kW,kW,50000.0,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,园区级储能功率假设
电储能,额定容量,battery_energy_kWh,kWh,200000.0,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,4h 储能时长假设
电储能,充电效率,battery_eta_ch,-,0.95,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,新参数表推荐值
电储能,放电效率,battery_eta_dis,-,0.95,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,新参数表推荐值
电储能,初始SOC,battery_initial_soc,kWh,100000.0,,codex新数据表,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,按 50% SOC 初始化
氢能,电解槽额定功率,electrolyzer_power_kW,kW,60000.0,,codex新数据表,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,按约 1000 kg/h 供氢能力设定
氢能,电解槽耗电量,electrolyzer_kWh_per_kgH2,kWh/kgH2,55.0,,codex新数据表,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,新参数表推荐值
氢能,电解槽最小负荷率,electrolyzer_min_load_rate,-,0.15,,codex新数据表,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,P1 运行约束：低于最小负荷视为停机
