scenario_id,scenario_name,enabled_items,key_settings,main_metrics,purpose
S0,传统供能,外部电网 + 燃气锅炉,wind=pv=battery=electrolyzer=storage=fuelcell=0,总成本、购电量、气耗、碳排放,作为基准场景
S1,新能源接入,风电 + 光伏 + 电网 + 锅炉,启用风光；不启用储能和氢能,弃风弃光、购电减少、碳排放下降,证明新能源低碳价值及消纳问题
S2,新能源+电储能,S1 + 电化学储能,启用battery_power/energy,SOC、峰谷套利、弃电减少,证明储能短周期调节作用
S3,新能源+电储能+制氢,S2 + 电解槽 + 储氢罐,启用electrolyzer和H2_storage,制氢量、储氢量、弃电减少,证明绿氢承接富余新能源
S4,完整系统,S3 + 燃料电池 + 热泵,启用fuel_cell和heat_pump,氢转电、热泵替代锅炉、系统成本,形成主项目完整模型
S5,低碳调度,S4 + 碳价机制,carbon_price=62.4元/tCO2,碳成本、锅炉出力变化、热泵供热比例,体现低碳经济调度
S6,碳价敏感性,完整系统+不同碳价,"carbon_price=[0,50,100,150,200]",碳排放、运行成本、锅炉/热泵出力,分析政策价格对调度影响
S7,氢价敏感性,完整系统+不同氢价,"h2_sale_price=[20,30,35,45,50]",电解槽运行小时、售氢收益、制氢量,分析绿氢经济性
S8,储能容量敏感性,完整系统+不同储能容量,"battery_energy=[0,5000,10000,20000,30000] kWh",弃电率、成本、SOC利用率,分析储能合理配置
S9,新能源渗透率敏感性,完整系统+不同风光容量,"wind/pv容量倍率=[0.5,1.0,1.5,2.0]",消纳率、弃电量、碳排放、制氢需求,分析高比例新能源系统表现
